istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;apylinkes_tipas;etatinis_darbo_kruvis
302692454;30000018;2025-01-19 01:53:12;4;0,50
302692454;30000041;2025-01-19 01:53:12;4;1,00
302692454;30000069;2025-01-19 01:53:12;4;1,00
302692454;30000225;2025-01-19 01:53:12;4;1,00
302692454;30000279;2025-01-19 01:53:12;4;0,50
302692454;30000382;2025-01-19 01:53:12;4;0,75
302692454;30000405;2025-01-19 01:53:12;4;0,50
302692454;30000474;2025-01-19 01:53:12;4;0,75
302692454;40000059;2025-01-19 01:53:12;4;1,00
302692454;40000116;2025-01-19 01:53:12;4;0,50
